Unnamed: 0.1,Unnamed: 0,French,English
10,10,frère,brother
11,11,laisser,let
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
23,23,longtemps,long time
26,26,pendant,while
27,27,aucune,any
28,28,place,square
30,30,compris,understood
31,32,étaient,were
32,33,attention,Warning
34,35,pourrais,could
36,37,donner,give
38,40,donné,given
41,43,endroit,place
42,44,yeux,eyes
43,45,écoute,listen
45,47,trouve,find
46,48,premier,first
48,50,première,first
49,51,côté,side
52,54,sois,be
53,55,tiens,here
56,58,enfant,child
58,61,suite,after
61,66,minutes,minutes
62,68,chambre,bedroom
69,75,enfin,finally
70,76,espère,hope
71,77,eau,water
76,83,dirait,would say
78,85,compte,account
80,87,fin,end
81,88,croire,believe
82,89,chérie,sweetheart
83,90,gros,large
87,94,jouer,to play
